Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
Waiting for Guffman,Comedy,"January 31, 1997 (United States)",7.5,Christopher Guest,4000000,25,1000000,2923982,-1076018,55,2200000,7.5,300000,7.5,300000,4,160000,12.5,500000
Secrets & Lies,Comedy,"February 28, 1997 (United States)",8,Timothy Spall,4500000,25,1125000,13417292,8917292,55,2475000,7.5,337500,7.5,337500,4,180000,12.5,562500
Daylight,Action,"December 6, 1996 (United States)",5.9,Sylvester Stallone,80000000,37.5,30000000,159212469,79212469,45,36000000,30,24000000,7.5,6000000,4,3200000,12.5,10000000
Last Man Standing,Action,"September 20, 1996 (United States)",6.4,Bruce Willis,67000000,37.5,25125000,47267001,-19732999,45,30150000,30,20100000,7.5,5025000,4,2680000,12.5,8375000
The Arrival,Mystery,"May 31, 1996 (United States)",6.2,Charlie Sheen,25000000,20,5000000,14063331,-10936669,45,11250000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Ransom,Action,"November 8, 1996 (United States)",6.7,Mel Gibson,80000000,37.5,30000000,309492681,229492681,45,36000000,30,24000000,7.5,6000000,4,3200000,12.5,10000000
Beavis and Butt-Head Do America,Animation,"December 20, 1996 (United States)",6.8,Mike Judge,12000000,20,2400000,63118386,51118386,35,4200000,45,5400000,10,1200000,5,600000,12.5,1500000
Fly Away Home,Adventure,"September 13, 1996 (United States)",6.8,Jeff Daniels,22000000,37.5,8250000,25143818,3143818,45,9900000,30,6600000,7.5,1650000,4,880000,12.5,2750000
Tin Cup,Comedy,"August 16, 1996 (United States)",6.4,Kevin Costner,45000000,25,11250000,53854588,8854588,55,24750000,7.5,3375000,7.5,3375000,4,1800000,12.5,5625000
Barb Wire,Action,"May 3, 1996 (United States)",3.4,Pamela Anderson,9000000,37.5,3375000,3793614,-5206386,45,4050000,30,2700000,7.5,675000,4,360000,12.5,1125000
Breaking the Waves,Drama,"November 13, 1996 (United States)",7.8,Emily Watson,22914608.79,17.5,4010056.539,3828405,-19086203.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Phantom,Action,"June 7, 1996 (United States)",5,Billy Zane,45000000,37.5,16875000,17323326,-27676674,45,20250000,30,13500000,7.5,3375000,4,1800000,12.5,5625000
The Fan,Action,"August 16, 1996 (United States)",5.9,Robert De Niro,55000000,37.5,20625000,18626419,-36373581,45,24750000,30,16500000,7.5,4125000,4,2200000,12.5,6875000
Eye for an Eye,Crime,"January 12, 1996 (United States)",6.2,Sally Field,20000000,20,4000000,26877589,6877589,55,11000000,15,3000000,7.5,1500000,6,1200000,12.5,2500000
2 Days in the Valley,Comedy,"September 27, 1996 (United States)",6.5,Teri Hatcher,22607802.13,25,5651950.532,11132210,-11475592.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Trees Lounge,Comedy,"October 11, 1996 (United States)",7.1,Steve Buscemi,1300000,25,325000,749741,-550259,55,715000,7.5,97500,7.5,97500,4,52000,12.5,162500
The People vs. Larry Flynt,Biography,"January 10, 1997 (United States)",7.3,Woody Harrelson,36000000,17.5,6300000,20300385,-15699615,55,19800000,7.5,2700000,7.5,2700000,4,1440000,12.5,4500000
Freeway,Comedy,"September 3, 1997 (France)",6.8,Reese Witherspoon,3000000,25,750000,295493,-2704507,55,1650000,7.5,225000,7.5,225000,4,120000,12.5,375000
Kazaam,Comedy,"July 17, 1996 (United States)",3,Shaquille O'Neal,20000000,25,5000000,18937262,-1062738,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Down Periscope,Comedy,"March 1, 1996 (United States)",6.2,Kelsey Grammer,31000000,25,7750000,37553752,6553752,55,17050000,7.5,2325000,7.5,2325000,4,1240000,12.5,3875000
Michael,Comedy,"December 25, 1996 (United States)",5.7,John Travolta,22607802.13,25,5651950.532,119718203,97110400.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Mulholland Falls,Crime,"April 26, 1996 (United States)",6.3,Nick Nolte,29000000,20,5800000,11526099,-17473901,55,15950000,15,4350000,7.5,2175000,6,1740000,12.5,3625000
Jingle All the Way,Adventure,"November 22, 1996 (United States)",5.6,Arnold Schwarzenegger,60000000,37.5,22500000,129832389,69832389,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
She's the One,Comedy,"August 23, 1996 (United States)",6,Edward Burns,3500000,25,875000,9538948,6038948,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
Brassed Off,Comedy,"May 23, 1997 (United States)",7.2,Pete Postlethwaite,22607802.13,25,5651950.532,2576738,-20031064.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Shine,Biography,"February 14, 1997 (United States)",7.7,Geoffrey Rush,5500000,17.5,962500,35999081,30499081,55,3025000,7.5,412500,7.5,412500,4,220000,12.5,687500
Black Sheep,Comedy,"February 2, 1996 (United States)",6.3,Chris Farley,22607802.13,25,5651950.532,32417995,9810192.871,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Maximum Risk,Action,"September 13, 1996 (United States)",5.5,Jean-Claude Van Damme,25000000,37.5,9375000,14502483,-10497517,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
One Fine Day,Comedy,"December 20, 1996 (United States)",6.5,Michelle Pfeiffer,22607802.13,25,5651950.532,97529550,74921747.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Lone Star,Drama,"June 21, 1996 (United States)",7.4,Chris Cooper,5000000,17.5,875000,12408986,7408986,65,3250000,7.5,375000,7.5,375000,4,200000,12.5,625000
Michael Collins,Biography,"October 25, 1996 (United States)",7.2,Liam Neeson,25000000,17.5,4375000,11135803,-13864197,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Phenomenon,Drama,"July 3, 1996 (United States)",6.4,John Travolta,32000000,17.5,5600000,152036382,120036382,65,20800000,7.5,2400000,7.5,2400000,4,1280000,12.5,4000000
Harriet the Spy,Comedy,"July 10, 1996 (United States)",5.9,Michelle Trachtenberg,12000000,25,3000000,26570048,14570048,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Flipper,Adventure,"May 17, 1996 (United States)",5.3,Paul Hogan,25530000,37.5,9573750,20080020,-5449980,45,11488500,30,7659000,7.5,1914750,4,1021200,12.5,3191250
Evita,Biography,"January 10, 1997 (United States)",6.3,Madonna,55000000,17.5,9625000,141047179,86047179,55,30250000,7.5,4125000,7.5,4125000,4,2200000,12.5,6875000
Diabolique,Drama,"March 22, 1996 (United States)",5.4,Sharon Stone,22914608.79,17.5,4010056.539,17100266,-5814342.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Bordello of Blood,Comedy,"August 16, 1996 (United States)",5.4,Dennis Miller,13000000,25,3250000,5781045,-7218955,55,7150000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Spy Hard,Action,"May 24, 1996 (United States)",5.4,Leslie Nielsen,18000000,37.5,6750000,26960191,8960191,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
The Substitute,Action,"April 19, 1996 (United States)",6,Tom Berenger,58084599.21,37.5,21781724.7,14818176,-43266423.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Marvin's Room,Drama,"February 28, 1997 (United States)",6.7,Meryl Streep,23000000,17.5,4025000,12803305,-10196695,65,14950000,7.5,1725000,7.5,1725000,4,920000,12.5,2875000
Multiplicity,Comedy,"July 17, 1996 (United States)",6.1,Michael Keaton,45000000,25,11250000,21075014,-23924986,55,24750000,7.5,3375000,7.5,3375000,4,1800000,12.5,5625000
House Arrest,Comedy,"August 14, 1996 (United States)",5.8,Jamie Lee Curtis,22607802.13,25,5651950.532,7032782,-15575020.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Everyone Says I Love You,Comedy,"January 17, 1997 (United States)",6.7,Woody Allen,20000000,25,5000000,9759200,-10240800,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
A Very Brady Sequel,Comedy,"August 23, 1996 (United States)",5.8,Shelley Long,12000000,25,3000000,21440752,9440752,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
The Crow: City of Angels,Action,"August 30, 1996 (United States)",4.7,Vincent Perez,13000000,37.5,4875000,17917287,4917287,45,5850000,30,3900000,7.5,975000,4,520000,12.5,1625000
Basquiat,Biography,"August 9, 1996 (United States)",6.9,Jeffrey Wright,3300000,17.5,577500,3011195,-288805,55,1815000,7.5,247500,7.5,247500,4,132000,12.5,412500
The Quest,Action,"April 26, 1996 (United States)",5.6,Jean-Claude Van Damme,30000000,37.5,11250000,57400547,27400547,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
Muppet Treasure Island,Action,"February 16, 1996 (United States)",7,Tim Curry,58084599.21,37.5,21781724.7,34327391,-23757208.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Hellraiser: Bloodline,Horror,"March 8, 1996 (United States)",5.1,Bruce Ramsay,4000000,25,1000000,9336886,5336886,45,1800000,15,600000,7.5,300000,6,240000,12.5,500000
Manny & Lo,Comedy,"July 26, 1996 (United States)",6.6,Scarlett Johansson,500000,25,125000,502313,2313,55,275000,7.5,37500,7.5,37500,4,20000,12.5,62500
Beautiful Thing,Comedy,"October 9, 1996 (United States)",7.6,Glen Berry,22607802.13,25,5651950.532,1548120,-21059682.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Chamber,Crime,"October 11, 1996 (United States)",6,Chris O'Donnell,50000000,20,10000000,22540359,-27459641,55,27500000,15,7500000,7.5,3750000,6,3000000,12.5,6250000
Blood and Wine,Crime,"February 21, 1997 (United States)",6,Jack Nicholson,22000000,20,4400000,1094668,-20905332,55,12100000,15,3300000,7.5,1650000,6,1320000,12.5,2750000
Jude,Drama,"October 18, 1996 (United States)",6.9,Christopher Eccleston,7000000,17.5,1225000,409144,-6590856,65,4550000,7.5,525000,7.5,525000,4,280000,12.5,875000
Bulletproof,Action,"September 6, 1996 (United States)",5.8,Damon Wayans,25000000,37.5,9375000,22611954,-2388046,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
Mad Dog Time,Comedy,"November 8, 1996 (United States)",5.4,Michael J. Pollard,8000000,25,2000000,107874,-7892126,55,4400000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Irma Vep,Comedy,"April 30, 1997 (United States)",7.1,Maggie Cheung,22607802.13,25,5651950.532,292040,-22315762.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Mrs. Winterbourne,Comedy,"April 19, 1996 (United States)",6.2,Shirley MacLaine,25000000,25,6250000,10082005,-14917995,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
The Portrait of a Lady,Drama,"January 17, 1997 (United States)",6.2,Nicole Kidman,22914608.79,17.5,4010056.539,3692836,-19221772.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Foxfire,Drama,"August 23, 1996 (United States)",6.2,Hedy Burress,22914608.79,17.5,4010056.539,269300,-22645308.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Glimmer Man,Action,"October 4, 1996 (United States)",5.4,Steven Seagal,45000000,37.5,16875000,20351264,-24648736,45,20250000,30,13500000,7.5,3375000,4,1800000,12.5,5625000
Up Close & Personal,Drama,"March 1, 1996 (United States)",6.2,Robert Redford,60000000,17.5,10500000,100688705,40688705,65,39000000,7.5,4500000,7.5,4500000,4,2400000,12.5,7500000
The Juror,Crime,"February 2, 1996 (United States)",5.7,Demi Moore,44000000,20,8800000,22754725,-21245275,55,24200000,15,6600000,7.5,3300000,6,2640000,12.5,5500000
Flirting with Disaster,Comedy,"April 12, 1996 (United States)",6.7,Ben Stiller,7000000,25,1750000,14702438,7702438,55,3850000,7.5,525000,7.5,525000,4,280000,12.5,875000
Homeward Bound II: Lost in San Francisco,Adventure,"March 8, 1996 (United States)",6,Michael J. Fox,45708389.06,37.5,17140645.9,32772492,-12935897.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Joe's Apartment,Comedy,"July 26, 1996 (United States)",5.5,Jerry O'Connell,13000000,25,3250000,4619014,-8380986,55,7150000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Ghosts of Mississippi,Drama,"January 3, 1997 (United States)",6.7,Alec Baldwin,36000000,17.5,6300000,13323144,-22676856,65,23400000,7.5,2700000,7.5,2700000,4,1440000,12.5,4500000
A Summer's Tale,Comedy,"June 20, 2014 (United States)",7.6,Melvil Poupaud,22607802.13,25,5651950.532,198126,-22409676.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Preacher's Wife,Comedy,"December 13, 1996 (United States)",5.6,Denzel Washington,40000000,25,10000000,48102795,8102795,55,22000000,7.5,3000000,7.5,3000000,4,1600000,12.5,5000000
Jane Eyre,Drama,"April 12, 1996 (United States)",6.8,William Hurt,22914608.79,17.5,4010056.539,5200601,-17714007.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
If Lucy Fell,Comedy,"March 8, 1996 (United States)",4.9,Sarah Jessica Parker,5000000,25,1250000,2420162,-2579838,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
SubUrbia,Comedy,"July 3, 1997 (Germany)",6.8,Giovanni Ribisi,22607802.13,25,5651950.532,656747,-21951055.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
First Strike,Action,"January 10, 1997 (United States)",6.6,Jackie Chan,58084599.21,37.5,21781724.7,21890845,-36193754.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Bad Moon,Horror,"November 1, 1996 (United States)",5.8,Mariel Hemingway,7000000,25,1750000,1060264,-5939736,45,3150000,15,1050000,7.5,525000,6,420000,12.5,875000
Dunston Checks In,Adventure,"January 12, 1996 (United States)",5.4,Jason Alexander,45708389.06,37.5,17140645.9,9871065,-35837324.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Carpool,Comedy,"August 23, 1996 (United States)",5,Tom Arnold,17000000,25,4250000,3325651,-13674349,55,9350000,7.5,1275000,7.5,1275000,4,680000,12.5,2125000
The Daytrippers,Comedy,"March 5, 1997 (United States)",7,Hope Davis,22607802.13,25,5651950.532,2099677,-20508125.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Before and After,Crime,"February 23, 1996 (United States)",6.1,Meryl Streep,35000000,20,7000000,8797839,-26202161,55,19250000,15,5250000,7.5,2625000,6,2100000,12.5,4375000
Citizen Ruth,Comedy,"December 13, 1996 (United States)",7,Laura Dern,3000000,25,750000,285112,-2714888,55,1650000,7.5,225000,7.5,225000,4,120000,12.5,375000
Extreme Measures,Crime,"September 27, 1996 (United States)",6.2,Hugh Grant,38000000,20,7600000,17380126,-20619874,55,20900000,15,5700000,7.5,2850000,6,2280000,12.5,4750000
Female Perversions,Drama,"April 25, 1997 (United States)",5.4,Tilda Swinton,22914608.79,17.5,4010056.539,926954,-21987654.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
A Thin Line Between Love and Hate,Comedy,"April 3, 1996 (United States)",5.7,Martin Lawrence,8000000,25,2000000,35599803,27599803,55,4400000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Kissed,Drama,"April 11, 1997 (United States)",6.4,Molly Parker,22914608.79,17.5,4010056.539,329211,-22585397.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Truth About Cats & Dogs,Comedy,"April 26, 1996 (United States)",6.3,Uma Thurman,22607802.13,25,5651950.532,34861807,12254004.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Whole Wide World,Biography,"December 20, 1996 (United States)",7.1,Vincent D'Onofrio,1300000,17.5,227500,375757,-924243,55,715000,7.5,97500,7.5,97500,4,52000,12.5,162500
Dear God,Comedy,"November 1, 1996 (United States)",5.4,Greg Kinnear,22000000,25,5500000,7138523,-14861477,55,12100000,7.5,1650000,7.5,1650000,4,880000,12.5,2750000
Bed of Roses,Drama,"January 26, 1996 (United States)",6.1,Christian Slater,22914608.79,17.5,4010056.539,27315527,4400918.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Pallbearer,Comedy,"May 3, 1996 (United States)",5,David Schwimmer,8000000,25,2000000,5656388,-2343612,55,4400000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Lawnmower Man 2: Beyond Cyberspace,Action,"January 12, 1996 (United States)",2.5,Patrick Bergin,15000000,37.5,5625000,2409225,-12590775,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
A Family Thing,Comedy,"March 29, 1996 (United States)",7,Robert Duvall,22607802.13,25,5651950.532,10125417,-12482385.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Curdled,Comedy,"September 27, 1996 (United States)",5.9,William Baldwin,2300000,25,575000,49620,-2250380,55,1265000,7.5,172500,7.5,172500,4,92000,12.5,287500
First Kid,Comedy,"August 30, 1996 (United States)",5.3,Sinbad,22607802.13,25,5651950.532,26491793,3883990.871,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Eddie,Comedy,"May 31, 1996 (United States)",5.2,Whoopi Goldberg,30000000,25,7500000,31387164,1387164,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Feeling Minnesota,Comedy,"September 13, 1996 (United States)",5.4,Keanu Reeves,22607802.13,25,5651950.532,3124440,-19483362.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Pillow Book,Drama,"June 6, 1997 (United States)",6.7,Vivian Wu,22914608.79,17.5,4010056.539,2372744,-20541864.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Adventures of Pinocchio,Adventure,"July 26, 1996 (United States)",5.2,Martin Landau,25000000,37.5,9375000,15094530,-9905470,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
City Hall,Drama,"February 16, 1996 (United States)",6.2,Al Pacino,40000000,17.5,7000000,20340204,-19659796,65,26000000,7.5,3000000,7.5,3000000,4,1600000,12.5,5000000
Night Falls on Manhattan,Crime,"May 16, 1997 (United States)",6.6,Andy Garcia,22363565.63,20,4472713.126,9889670,-12473895.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
The Great White Hype,Comedy,"May 3, 1996 (United States)",5.5,Samuel L. Jackson,22607802.13,25,5651950.532,8008255,-14599547.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Twelfth Night,Comedy,"October 25, 1996 (United States)",7.2,Helena Bonham Carter,5000000,25,1250000,588621,-4411379,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
Mary Reilly,Drama,"February 23, 1996 (United States)",5.8,Julia Roberts,47000000,17.5,8225000,12379402,-34620598,65,30550000,7.5,3525000,7.5,3525000,4,1880000,12.5,5875000
My Fellow Americans,Adventure,"December 20, 1996 (United States)",6.5,Jack Lemmon,21500000,37.5,8062500,22313201,813201,45,9675000,30,6450000,7.5,1612500,4,860000,12.5,2687500
Sgt. Bilko,Comedy,"March 29, 1996 (United States)",5.8,Steve Martin,39000000,25,9750000,37956793,-1043207,55,21450000,7.5,2925000,7.5,2925000,4,1560000,12.5,4875000
Heaven's Prisoners,Drama,"May 17, 1996 (United States)",5.8,Alec Baldwin,25000000,17.5,4375000,5009305,-19990695,65,16250000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Caught,Drama,"January 24, 1996 (United States)",6.6,Edward James Olmos,22914608.79,17.5,4010056.539,38930959.49,16016350.7,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
I Shot Andy Warhol,Biography,"May 1, 1996 (United States)",6.6,Lili Taylor,25312316.72,17.5,4429655.427,1875527,-23436789.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
The Sunchaser,Crime,"October 25, 1996 (United States)",6.2,Woody Harrelson,22363565.63,20,4472713.126,21508,-22342057.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
All Dogs Go to Heaven 2,Animation,"March 29, 1996 (United States)",5.5,Charlie Sheen,75785197.13,20,15157039.43,8620678,-67164519.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
Girl 6,Comedy,"March 22, 1996 (United States)",5.2,Theresa Randle,12000000,25,3000000,4939939,-7060061,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
The Evening Star,Comedy,"December 25, 1996 (United States)",5.9,Shirley MacLaine,22607802.13,25,5651950.532,12767815,-9839987.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Larger Than Life,Comedy,"November 1, 1996 (United States)",5.6,Bill Murray,30000000,25,7500000,8315693,-21684307,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Head Above Water,Comedy,"June 25, 1997 (United States)",6,Harvey Keitel,22607802.13,25,5651950.532,32212,-22575590.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Two If by Sea,Comedy,"January 12, 1996 (United States)",5.2,Sandra Bullock,22607802.13,25,5651950.532,10658278,-11949524.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Stupids,Adventure,"August 30, 1996 (United States)",4.2,Tom Arnold,25000000,37.5,9375000,2491989,-22508011,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
The Funeral,Crime,"November 1, 1996 (United States)",6.6,Christopher Walken,12500000,20,2500000,1227324,-11272676,55,6875000,15,1875000,7.5,937500,6,750000,12.5,1562500
Kids in the Hall: Brain Candy,Comedy,"April 19, 1996 (United States)",6.9,Dave Foley,22607802.13,25,5651950.532,2654308,-19953494.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
High School High,Comedy,"October 25, 1996 (United States)",5.5,Jon Lovitz,22607802.13,25,5651950.532,21302121,-1305681.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Schizopolis,Comedy,"April 9, 1997 (United States)",6.8,Steven Soderbergh,250000,25,62500,10580,-239420,55,137500,7.5,18750,7.5,18750,4,10000,12.5,31250
The Van,Comedy,"May 16, 1997 (United States)",6.7,Colm Meaney,22607802.13,25,5651950.532,712095,-21895707.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Alaska,Adventure,"August 14, 1996 (United States)",5.8,Thora Birch,23000000,37.5,8625000,11829959,-11170041,45,10350000,30,6900000,7.5,1725000,4,920000,12.5,2875000
Moll Flanders,Drama,"June 14, 1996 (United States)",6.5,Robin Wright,22914608.79,17.5,4010056.539,3486957,-19427651.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Associate,Comedy,"October 25, 1996 (United States)",6.1,Whoopi Goldberg,22607802.13,25,5651950.532,12844057,-9763745.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Shiloh,Drama,"April 25, 1997 (United States)",6.4,Blake Heron,22914608.79,17.5,4010056.539,1007822,-21906786.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
In Love and War,Biography,"January 24, 1997 (United States)",6,Sandra Bullock,25312316.72,17.5,4429655.427,25372294,59977.27619,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Surviving Picasso,Biography,"September 20, 1996 (United States)",6.4,Anthony Hopkins,16000000,17.5,2800000,2021348,-13978652,55,8800000,7.5,1200000,7.5,1200000,4,640000,12.5,2000000
Kansas City,Crime,"August 16, 1996 (United States)",6.3,Jennifer Jason Leigh,19000000,20,3800000,1356828,-17643172,55,10450000,15,2850000,7.5,1425000,6,1140000,12.5,2375000
Mr. Wrong,Comedy,"February 16, 1996 (United States)",3.8,Ellen DeGeneres,22607802.13,25,5651950.532,12825141,-9782661.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Fled,Action,"July 19, 1996 (United States)",5.4,Laurence Fishburne,25000000,37.5,9375000,17193231,-7806769,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
Infinity,Biography,"October 4, 1996 (United States)",6.2,Matthew Broderick,25312316.72,17.5,4429655.427,195170,-25117146.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Unforgettable,Drama,"February 23, 1996 (United States)",6,Ray Liotta,18000000,17.5,3150000,2821671,-15178329,65,11700000,7.5,1350000,7.5,1350000,4,720000,12.5,2250000
Bloodsport 2,Action,"March 1, 1996 (United States)",4.8,Daniel Bernhardt,58084599.21,37.5,21781724.7,684351,-57400248.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Phat Beach,Comedy,"August 2, 1996 (United States)",3.9,Jermaine Hopkins,22607802.13,25,5651950.532,1383553,-21224249.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Last Dance,Drama,"May 3, 1996 (United States)",5.7,Sharon Stone,22914608.79,17.5,4010056.539,5939449,-16975159.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Grace of My Heart,Comedy,"September 13, 1996 (United States)",6.7,Illeana Douglas,5000000,25,1250000,660313,-4339687,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
Celtic Pride,Comedy,"April 19, 1996 (United States)",5.3,Damon Wayans,22607802.13,25,5651950.532,9255027,-13352775.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Ed,Comedy,"March 15, 1996 (United States)",2.7,Matt LeBlanc,24000000,25,6000000,4422380,-19577620,55,13200000,7.5,1800000,7.5,1800000,4,960000,12.5,3000000
The Game,Drama,"September 12, 1997 (United States)",7.8,Michael Douglas,50000000,17.5,8750000,109423648,59423648,65,32500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
Boogie Nights,Drama,"October 31, 1997 (United States)",7.9,Mark Wahlberg,15000000,17.5,2625000,43101594,28101594,65,9750000,7.5,1125000,7.5,1125000,4,600000,12.5,1875000
Titanic,Drama,"December 19, 1997 (United States)",7.8,Leonardo DiCaprio,200000000,17.5,35000000,2201647264,2001647264,65,130000000,7.5,15000000,7.5,15000000,4,8000000,12.5,25000000
The Fifth Element,Action,"May 9, 1997 (United States)",7.7,Bruce Willis,93000000,37.5,34875000,263920180,170920180,45,41850000,30,27900000,7.5,6975000,4,3720000,12.5,11625000
Austin Powers: International Man of Mystery,Adventure,"May 2, 1997 (United States)",7,Mike Myers,16500000,37.5,6187500,67683989,51183989,45,7425000,30,4950000,7.5,1237500,4,660000,12.5,2062500
